Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1986,21,PIT,NL,113,484,413,72,92,26,3,16,48,36,7,65,102,.223,.330,.416,.746,103,172,4,2,2,2,2,*8/H,RoY-6
1987,22,PIT,NL,150,611,551,99,144,34,9,25,59,32,10,54,88,.261,.329,.492,.821,114,271,4,3,0,3,3,*78H/9,
1988,23,PIT,NL,144,614,538,97,152,30,5,24,58,17,11,72,82,.283,.368,.491,.859,148,264,3,2,0,2,14,*7H/8,
1989,24,PIT,NL,159,679,580,96,144,34,6,19,58,32,10,93,93,.248,.351,.426,.777,126,247,9,1,1,4,22,*7/H,
1990,25,PIT,NL,151,621,519,104,156,32,3,33,114,52,13,93,83,.301,.406,.565,.970,170,293,8,3,0,6,15,*7/H8,ASMVP-1GGSS
1991,26,PIT,NL,153,634,510,95,149,28,5,25,116,43,13,107,73,.292,.410,.514,.924,160,262,8,4,0,13,25,*7/H8,MVP-2GGSS
1992,27,PIT,NL,140,612,473,109,147,36,5,34,103,39,8,127,69,.311,.456,.624,1.080,204,295,9,5,0,7,32,*7/H,ASMVP-1GGSS
1993,28,SFG,NL,159,674,539,129,181,38,4,46,123,29,12,126,79,.336,.458,.677,1.136,206,365,11,2,0,7,43,*7/H,ASMVP-1GGSS
1994,29,SFG,NL,112,474,391,89,122,18,1,37,81,29,9,74,43,.312,.426,.647,1.073,183,253,3,6,0,3,18,*7/H,ASMVP-4GGSS
1995,30,SFG,NL,144,635,506,109,149,30,7,33,104,31,10,120,83,.294,.431,.577,1.009,170,292,12,5,0,4,22,*7/H,ASMVP-12
1996,31,SFG,NL,158,675,517,122,159,27,3,42,129,40,7,151,76,.308,.461,.615,1.076,188,318,11,1,0,6,30,*7/H8,ASMVP-5GGSS
1997,32,SFG,NL,159,690,532,123,155,26,5,40,101,37,8,145,87,.291,.446,.585,1.031,170,311,13,8,0,5,34,*7,ASMVP-5GGSS
1998,33,SFG,NL,156,697,552,120,167,44,7,37,122,28,12,130,92,.303,.438,.609,1.047,178,336,15,8,1,6,29,*7/H,ASMVP-8GG
