,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Georgia,12,0,1.000,8,0,1.000,40.7,6.9,24.27,2.27,1,5,1,
Kentucky,9,3,.750,5,3,.625,33.3,22.1,8.69,0.35,25,,11,
Tennessee,7,5,.583,4,4,.500,38.8,27.5,8.43,3.01,,,,
Missouri,6,6,.500,3,5,.375,29.7,34.7,0.72,3.22,,,,
South Carolina,6,6,.500,3,5,.375,21.3,24.3,0.86,3.61,,,,
Florida,6,6,.500,2,6,.250,31.8,26.6,5.64,2.22,,13,10,
Vanderbilt,2,10,.167,0,8,.000,15.8,35.8,-12.05,1.86,,,,
Alabama,11,1,.917,7,1,.875,42.7,19.9,18.05,2.55,4,1,1,
Ole Miss,10,2,.833,6,2,.750,35.9,25.0,12.82,3.65,8,,8,
Arkansas,8,4,.667,4,4,.500,31.5,24.0,10.77,4.44,23,,8,
Texas A&M,8,4,.667,4,4,.500,29.3,15.9,11.39,1.89,24,6,5,
Mississippi State,7,5,.583,4,4,.500,30.9,25.3,7.63,3.96,,,,
Auburn,6,6,.500,3,5,.375,29.6,22.2,7.48,5.89,,,12,
LSU,6,6,.500,3,5,.375,27.1,25.3,6.72,5.47,,16,16,
